amp_list,uncoupled_fnames,coupled_fnames,delta_bs,g_bs
0.49862714168514927,sweep_ac_drive_frequency_20250615_222424.csv,sweep_ac_drive_frequency_20250615_224118.csv,391.939393939394,-5.95272734373188
0.5219877024426117,sweep_ac_drive_frequency_20250615_225217.csv,sweep_ac_drive_frequency_20250615_230929.csv,391.73737373737373,-6.326719370905181
0.5453482632000743,sweep_ac_drive_frequency_20250615_232050.csv,sweep_ac_drive_frequency_20250615_233826.csv,391.4343434343435,-6.707193244269064
0.568708823957537,sweep_ac_drive_frequency_20250615_234948.csv,sweep_ac_drive_frequency_20250616_000753.csv,391.23232323232327,-7.092830475813827
0.5920693847149995,sweep_ac_drive_frequency_20250616_001934.csv,sweep_ac_drive_frequency_20250616_003724.csv,391.13131313131316,-7.48194390167879
0.6154299454724621,sweep_ac_drive_frequency_20250616_005058.csv,sweep_ac_drive_frequency_20250616_010830.csv,390.9292929292929,-7.872290541794683
0.6387905062299246,sweep_ac_drive_frequency_20250616_011955.csv,sweep_ac_drive_frequency_20250616_013804.csv,390.8282828282828,-8.261712749349613
0.6621510669873871,sweep_ac_drive_frequency_20250616_014948.csv,sweep_ac_drive_frequency_20250616_020751.csv,390.7272727272727,-8.64802629908155
0.6855116277448497,sweep_ac_drive_frequency_20250616_021948.csv,sweep_ac_drive_frequency_20250616_023841.csv,390.6262626262627,-9.028591198292673
0.7088721885023123,sweep_ac_drive_frequency_20250616_025111.csv,sweep_ac_drive_frequency_20250616_031106.csv,390.5252525252524,-9.401000882971715
0.7322327492597749,sweep_ac_drive_frequency_20250616_032327.csv,sweep_ac_drive_frequency_20250616_034316.csv,390.5252525252524,-9.762426389363071
0.7555933100172375,sweep_ac_drive_frequency_20250616_035548.csv,sweep_ac_drive_frequency_20250616_041550.csv,390.6262626262627,-10.110872779267964
0.7789538707747,sweep_ac_drive_frequency_20250616_042903.csv,sweep_ac_drive_frequency_20250616_045117.csv,390.6262626262627,-10.443627220875982
0.8023144315321625,sweep_ac_drive_frequency_20250616_050447.csv,sweep_ac_drive_frequency_20250616_052642.csv,390.8282828282828,-10.758867238700901
0.8256749922896252,sweep_ac_drive_frequency_20250616_054027.csv,sweep_ac_drive_frequency_20250616_060211.csv,390.9292929292929,-11.054486847513658
0.8490355530470878,sweep_ac_drive_frequency_20250616_061622.csv,sweep_ac_drive_frequency_20250616_063753.csv,391.13131313131316,-11.330341113173432
0.8723961138045502,sweep_ac_drive_frequency_20250616_065214.csv,sweep_ac_drive_frequency_20250616_071411.csv,391.3333333333334,-11.582920400428122
0.8957566745620128,sweep_ac_drive_frequency_20250616_072855.csv,sweep_ac_drive_frequency_20250616_075247.csv,391.6363636363636,-11.866956087995447
0.9191172353194754,sweep_ac_drive_frequency_20250616_080742.csv,sweep_ac_drive_frequency_20250616_083241.csv,391.939393939394,-12.03705711378629
0.9424777960769379,sweep_ac_drive_frequency_20250616_084743.csv,sweep_ac_drive_frequency_20250616_091324.csv,392.3434343434343,-12.209392878782808
