"Phase [deg]","Freq [GHz]","surface_int_B []"
0,2.8522,1.40529371762897E-06
0,2.872,1.01247139139442E-06
0,2.8918,3.68829664422473E-07
0,2.9116,8.45684709760447E-07
0,2.9314,5.15261366982018E-07
0,2.9512,6.65979297483573E-07
0,2.971,8.75290803090244E-07
0,2.9908,8.38624664330409E-07
0,3.0106,7.41467811579202E-07
0,3.0304,6.26250067426943E-07
0,3.0502,5.04287599894079E-07
0,3.07,3.78457536179809E-07
0,3.0898,2.48670317987936E-07
0,3.1096,1.13379624599334E-07
0,3.1294,3.02441048308432E-08
0,3.1492,1.86716642545835E-07
0,3.169,3.63391015884797E-07
0,3.1888,5.7308403774033E-07
0,3.2086,8.4023903976813E-07
0,3.2284,1.19907696326986E-06
0,3.2482,1.92121957529668E-07
0,3.268,5.11691425008396E-07
0,3.2878,1.6175652411438E-06
0,3.3076,2.67725278481228E-06
0,3.3274,4.12567005300938E-06
0,3.3472,5.63578443215526E-06
0,3.367,5.03671745081668E-06
0,3.3868,2.47764821752577E-06
0,3.4066,7.96253678269181E-07
0,3.4264,6.81131327357237E-08
0,3.4462,2.26954501026034E-07
0,3.466,3.4272740667524E-07
0,3.4858,3.81560671094427E-07
0,3.5056,3.85966311754272E-07
0,3.5254,3.74734935210215E-07
0,3.5452,3.56649950494016E-07
0,3.565,3.3598804271313E-07
0,3.5848,3.14876972058301E-07
0,3.6046,2.94373431036378E-07
0,3.6244,2.74981758778581E-07
0,3.6442,2.56912062450543E-07
0,3.664,2.40219931656358E-07
0,3.6838,2.24880045946879E-07
0,3.7036,2.10823888014269E-07
0,3.7234,1.97965591083096E-07
0,3.7432,1.86211165817603E-07
0,3.763,1.75467863488173E-07
0,3.7828,1.6564745723744E-07
0,3.8026,1.56666306458346E-07
0,3.8224,1.48448378961299E-07
0,3.8422,1.40924206084597E-07
0,3.862,1.34030686310477E-07
0,3.8818,1.27710762488206E-07
0,3.9016,1.21913351074333E-07
0,3.9214,1.16592676447622E-07
0,3.9412,1.11707159265833E-07
0,3.961,1.07219534506613E-07
0,3.9808,1.0309729055166E-07
0,4.0006,9.93102763114449E-08
